Phrase,Prediction_Value,Predictionyou all fucking suck every single one of you is a failure,0.966335,good
okay that's a very interesting point but do you think we can add anything more to that,0.99999374,good
all of you guys fucking suck every single one of these uses piece of fucking shit,0.5048482,good
every single one of you is a usual spot,0.75854623,good
every single one of you is a useless fuck,0.75854623,good
no that's absolutely wrong for you even paying attention.,0.9996766,good
every single one of you fucking sucks you are stupid deserve death,0.6236804,good
nice job guys I'm very proud of you guys are doing an excellent job,0.5384469,good
no that's absolutely wrong that is completely and utterly wrong,0.71922004,good
okay that's very interesting. Alegre going with that but can anyone add anything else,0.004635697,good
every single one of you is fucking retarded you guys are all stupid and deserve death,0.9999999,bad
